# Lindstrom Triangulation
# disp_scale=1.000000, disp_offset=0.000000mm
# anchor_mode=0, anchor_threshold=30.000000mm
# id x_orig y_orig z_orig x_target y_target z_target movement_mm is_anchor
284 2.125000 4.490930 -0.125000 2.145190 4.510741 -0.127277 28.377759 0
286 2.125000 4.875000 -0.272426 2.126928 4.876539 -0.272718 2.483898 0
289 2.125000 5.625000 -0.260657 2.150109 5.648145 -0.267014 34.735133 0
291 2.125000 5.875000 -0.390720 2.074740 5.848052 -0.365196 62.480484 0
296 2.125000 7.077790 -0.375000 2.093741 7.031093 -0.341681 65.329256 0
297 2.091840 7.125000 -0.375000 2.063041 7.075654 -0.339697 67.162241 0
298 2.125000 7.125000 -0.369867 2.095408 7.077409 -0.338634 64.156922 0
299 2.064290 7.375000 -0.375000 2.053180 7.342383 -0.352067 41.391309 0
300 2.125000 7.375000 -0.360439 2.109690 7.340310 -0.341872 42.220076 0
301 2.064290 7.375000 -0.375000 2.050533 7.335925 -0.349254 48.774233 0
303 2.125000 7.625000 -0.352172 2.116959 7.597826 -0.338742 31.359898 0
305 2.125000 7.875000 -0.352362 2.121256 7.845404 -0.336156 33.949622 0
312 2.166750 5.875000 -0.375000 2.115730 5.839457 -0.353762 65.706886 0
315 2.375000 6.125000 -0.361334 2.359806 6.114988 -0.355562 19.090115 0
322 2.375000 7.265760 -0.375000 2.332455 7.223371 -0.338942 70.050853 0
323 2.375000 7.375000 -0.362356 2.350928 7.346935 -0.340931 42.733446 0
324 2.375000 7.625000 -0.329848 2.378359 7.629103 -0.332638 5.991942 0
325 2.375000 7.875000 -0.321661 2.382719 7.890262 -0.329421 18.780929 0
326 2.625000 4.242760 -0.125000 2.659732 4.297648 -0.126629 64.974461 0
327 2.411470 4.125000 -0.125000 2.390073 4.087949 -0.123875 42.800728 0
328 2.625000 4.125000 -0.225808 2.625208 4.124134 -0.225799 0.890731 0
333 2.625000 5.854150 -0.125000 2.634153 5.866537 -0.125742 15.419494 0
334 2.555900 5.875000 -0.125000 2.561086 5.883884 -0.125368 10.293265 0
348 2.625000 7.875000 -0.345974 2.598735 7.842521 -0.325265 46.621219 0
349 2.786560 4.125000 -0.125000 2.775123 4.109878 -0.124185 18.977137 0
393 3.375000 6.875000 -0.332315 3.344251 6.858044 -0.326030 35.672364 0
416 3.625000 7.125000 -0.277260 3.657694 7.151718 -0.281366 42.422203 0
417 3.625000 7.375000 -0.303992 3.622730 7.372088 -0.303631 3.709911 0
419 3.625000 7.625000 -0.325491 3.615125 7.619191 -0.323228 11.678563 0
428 3.875000 7.125000 -0.184228 3.832636 7.099833 -0.180136 49.445147 0
430 3.875000 7.625000 -0.238594 3.883745 7.630074 -0.239667 10.167021 0
431 3.875000 7.875000 -0.281585 3.856258 7.861257 -0.278567 23.435936 0
434 3.974390 7.375000 -0.125000 3.956257 7.363293 -0.123654 21.626029 0
435 4.025980 7.625000 -0.125000 3.991016 7.604865 -0.122131 40.449485 0
438 4.125000 8.125000 -0.220913 4.128902 8.125099 -0.221526 3.951152 0
439 3.875000 8.125000 -0.314423 3.842071 8.105042 -0.307492 39.123709 0
449 1.860940 8.125000 -0.375000 1.868316 8.072905 -0.352600 57.184407 0
457 0.125000 8.044780 -0.125000 0.130334 8.014093 -0.123938 31.165022 0
458 0.232536 7.875000 -0.125000 0.233513 7.872387 -0.124881 2.791802 0
462 2.375000 8.125000 -0.336236 2.368516 8.104046 -0.327157 23.738411 0
463 2.625000 8.125000 -0.311006 2.638460 8.145046 -0.322535 26.757112 0
468 0.125000 8.125000 -0.040634 0.121581 8.154890 -0.040991 30.087346 0
473 1.336120 8.125000 0.125000 1.336990 8.121310 0.124907 3.792445 0
478 1.648390 4.375000 0.125000 1.653751 4.380726 0.125624 7.868779 0
